parallelism,interval,interval_over_p,feasible,overhead_phi,duty_cycle,makespan_h,speedup,speedup_per_accelerator,throughput_steps_per_s,throughput_per_gpu_steps_per_s,p_it_mw,p_grid_mw,pue,it_energy_mwh,grid_energy_mwh,energy_overhead_mwh,carbon_t,carbon_per_step_g,cl_energy_kwh_per_step,liquid_fraction,ci_key,ci_base
2,2,1.0,1,0.4589223275130563,0.6854374500557849,21.073322508521922,1.318148942414971,0.6590744712074855,1.318148942414971,0.6590744712074855,9.204662310211983,10.576443541514918,1.14903113064572,193.97281744513353,222.8808057435176,28.907988298384094,64.25372806698232,642.5372806698232,2.228808057435176,0.8,diel_030,0.3
4,4,1.0,1,0.31696428571428575,0.759322033898305,10.243055555555555,2.711864406779661,0.6779661016949152,2.711864406779661,0.6779661016949152,9.48542372881356,10.899047151772377,1.1490311306457193,97.15972222222223,111.63954547822402,14.479823256001794,28.352443982495462,283.52443982495464,1.1163954547822403,0.8,diel_030,0.3
8,10,1.25,1,0.2137865257669732,0.8238681009975087,5.394606781186548,5.14917563123443,0.6436469539043037,5.14917563123443,0.6436469539043037,9.730698783790533,11.180875825511762,1.1490311306457195,52.4932936447201,60.316428547910505,7.823134903190403,17.78294955796706,177.82949557967063,0.6031642854791051,0.8,diel_030,0.3
16,25,1.5625,1,0.1615,0.8609556607834696,3.2263888888888888,8.609556607834696,0.5380972879896685,8.609556607834696,0.5380972879896685,9.871631510977185,11.342811916376027,1.1490311306457195,31.84972222222222,36.59632233575209,4.746600113529872,11.77314907601366,117.7314907601366,0.3659632233575209,0.8,diel_030,0.3
32,32,1.0,1,0.23704994752424738,0.8083747968312323,2.405374897963815,11.548211383303316,0.36088160572822864,11.548211383303316,0.36088160572822864,9.671824227958682,11.11322712805803,1.1490311306457195,23.26436321545007,26.731477569201285,3.4671143537512146,8.862736110492428,88.62736110492428,0.26731477569201284,0.8,diel_030,0.3
64,100,1.5625,1,0.1328977272727273,0.8826922112442952,1.7308159722222216,16.048949295350823,0.2507648327398566,16.048949295350823,0.2507648327398566,9.95423040272832,11.437720614354918,1.1490311306457195,17.228940972222215,19.796589525140853,2.5676485529186355,6.727206335222678,67.27206335222678,0.1979658952514085,0.8,diel_030,0.3
128,250,1.953125,1,0.08620652757125292,0.9206352333713094,1.4331891683231806,19.381794386764412,0.15142026864659697,19.381794386764412,0.15142026864659697,10.098413886810976,11.603391926090849,1.1490311306457195,14.472937399821879,16.62985562428205,2.156918224460174,5.699220737049991,56.99220737049991,0.16629855624282053,0.8,diel_030,0.3
256,500,1.953125,1,0.06595357142857143,0.9381271631369632,1.2954296875,21.442906585987732,0.08376135385151458,21.442906585987732,0.08376135385151458,10.16488321992046,11.679767259066908,1.1490311306457195,13.167891493055555,15.130317250485776,1.962425757430221,5.212390343484833,52.12390343484832,0.15130317250485775,0.8,diel_030,0.3
512,1000,1.953125,1,0.048664709667277775,0.9535936422589082,1.219800964369924,22.772385486779896,0.044477315403866985,22.772385486779896,0.044477315403866985,10.223655840583852,11.747298829838776,1.1490311306457195,12.470825253730387,14.329366441379019,1.8585411876486324,4.953003701266543,49.53003701266544,0.14329366441379018,0.8,diel_030,0.3
1024,1000,0.9765625,0,0.07036784351145038,0.9342582608978597,1.2171717664930555,22.821575838726343,0.022286695155006194,22.821575838726343,0.022286695155006194,10.150181391411866,11.66287440043312,1.1490311306457195,12.354514214409722,14.195721436361815,1.8412072219520923,4.907415056053182,49.07415056053182,0.14195721436361816,0.8,diel_030,0.3
