parallelism,makespan_h,grid_energy_mwh,cl_energy_kwh_per_step,jobs_in_parallel,cl_energy_kwh_per_step_all_jobs,carbon_t
2,21.073322508521922,222.8808057435176,2.228808057435176,5000,11144.04028717588,66.86424172305527
4,10.243055555555555,111.63954547822402,1.1163954547822403,2500,2790.9886369556007,33.491863643467205
8,5.394606781186548,60.316428547910505,0.6031642854791051,1250,753.9553568488814,18.09492856437315
16,3.2263888888888888,36.59632233575209,0.3659632233575209,625,228.72701459845058,10.978896700725628
32,2.405374897963815,26.731477569201285,0.26731477569201284,312,83.40221001590801,8.019443270760384
64,1.7308159722222216,19.796589525140853,0.1979658952514085,156,30.882679659219725,5.938976857542255
128,1.4331891683231806,16.62985562428205,0.16629855624282053,78,12.971287386940002,4.988956687284615
256,1.2954296875,15.130317250485776,0.15130317250485775,39,5.900823727689453,4.539095175145732
512,1.219800964369924,14.329366441379019,0.14329366441379018,19,2.7225796238620137,4.298809932413706
1024,1.2171717664930555,14.195721436361815,0.14195721436361816,9,1.2776149292725634,4.258716430908545
