site,elevation_m,rho_r,Tmean_C,air_free_cooling_pct,liquid_free_cooling_pct,PUE_f0,PUE_f0.8,PUE_f1
Xining (Qinghai plateau),2266.0,0.7998752790424368,6.1155479452054795,91.65525114155251,99.94292237442922,1.2301022882776969,1.148871383281839,1.1285636570325166
Beijing,35.4,0.996605913780471,13.082134703196347,65.28538812785388,97.65981735159818,1.2002846473071764,1.1436023078049364,1.1294317229291368
Shanghai,3.0,0.9997120231217516,18.236221461187217,54.6689497716895,96.4041095890411,1.2092119777982153,1.1472377271700727,1.131744164513059
