parallelism,interval,interval_over_p,feasible,overhead_phi,duty_cycle,makespan_h,speedup,speedup_per_accelerator,throughput_steps_per_s,throughput_per_gpu_steps_per_s,p_it_mw,p_grid_mw,pue,it_energy_mwh,grid_energy_mwh,energy_overhead_mwh,carbon_t,carbon_per_step_g,cl_energy_kwh_per_step,liquid_fraction,ci_key,ci_base
2,1,0.5,0,0.9178446550261126,0.5214186651558514,27.702200572599402,1.0027282022227912,0.5013641011113956,1.0027282022227912,0.5013641011113956,8.581390927592235,10.566255755235618,1.2312987305194703,237.72341266804492,292.70853623292,54.985123564875046,87.812560869876,878.1256086987598,2.9270853623291995,0.0,const_030,0.3
2,1,0.5,0,0.9178446550261126,0.5214186651558514,27.702200572599402,1.0027282022227912,0.5013641011113956,1.0027282022227912,0.5013641011113956,8.581390927592235,10.389763146437778,1.2107318305510335,237.72341266804492,287.81930258442054,50.095889916375626,86.34579077532622,863.4579077532622,2.8781930258442054,0.2,const_030,0.3
2,1,0.5,0,0.9178446550261126,0.5214186651558514,27.702200572599402,1.0027282022227912,0.5013641011113956,1.0027282022227912,0.5013641011113956,8.581390927592235,10.213270537639932,1.190164930582596,237.72341266804492,282.9300689359211,45.20665626787621,84.87902068077639,848.7902068077639,2.8293006893592114,0.4,const_030,0.3
2,1,0.5,0,0.9178446550261126,0.5214186651558514,27.702200572599402,1.0027282022227912,0.5013641011113956,1.0027282022227912,0.5013641011113956,8.581390927592235,10.125024233241,1.1798814805983762,237.72341266804492,280.4854521116718,42.76203944362688,84.1456356335015,841.456356335015,2.804854521116718,0.5,const_030,0.3
2,1,0.5,0,0.9178446550261126,0.5214186651558514,27.702200572599402,1.0027282022227912,0.5013641011113956,1.0027282022227912,0.5013641011113956,8.581390927592235,10.036777928842076,1.1695980306141573,237.72341266804492,278.04083528742206,40.31742261937715,83.41225058622659,834.1225058622659,2.7804083528742205,0.6,const_030,0.3
2,1,0.5,0,0.9178446550261126,0.5214186651558514,27.702200572599402,1.0027282022227912,0.5013641011113956,1.0027282022227912,0.5013641011113956,8.581390927592235,9.860285320044229,1.14903113064572,237.72341266804492,273.1516016389228,35.42818897087785,81.94548049167678,819.4548049167677,2.731516016389228,0.8,const_030,0.3
2,1,0.5,0,0.9178446550261126,0.5214186651558514,27.702200572599402,1.0027282022227912,0.5013641011113956,1.0027282022227912,0.5013641011113956,8.581390927592235,9.772039015645296,1.1387476806615,237.72341266804492,270.70698481467304,32.98357214662811,81.21209544440185,812.1209544440186,2.7070698481467304,0.9,const_030,0.3
2,1,0.5,0,0.9178446550261126,0.5214186651558514,27.702200572599402,1.0027282022227912,0.5013641011113956,1.0027282022227912,0.5013641011113956,8.581390927592235,9.68379271124637,1.1284642306772812,237.72341266804492,268.26236799042334,30.53895532237843,80.47871039712695,804.7871039712694,2.6826236799042333,1.0,const_030,0.3
2,2,1.0,1,0.4589223275130563,0.6854374500557849,21.073322508521922,1.318148942414971,0.6590744712074855,1.318148942414971,0.6590744712074855,9.204662310211983,11.333689017424431,1.2312987305194705,193.97281744513353,238.83848387547818,44.86566643034466,71.6515451626434,716.515451626434,2.388384838754782,0.0,const_030,0.3
2,2,1.0,1,0.4589223275130563,0.6854374500557849,21.073322508521922,1.318148942414971,0.6590744712074855,1.318148942414971,0.6590744712074855,9.204662310211983,11.144377648447058,1.2107318305510335,193.97281744513353,234.84906434248805,40.87624689735452,70.45471930274644,704.5471930274643,2.3484906434248805,0.2,const_030,0.3
